arm,k,seed,p,hits,n
actor_rubric,1,0,55,55,100
actor_rubric,2,0,-,-,0
actor_rubric,3,0,0,0,1
actor_rubric,4,0,0,0,8
actor_rubric,5,0,0,0,2
actor_rubric,6,0,25,1,4
actor_rubric,7,0,0,0,5
actor_rubric,8,0,-,-,0
team_agg,1,0,70,63,90
team_agg,2,0,33,7,21
team_agg,3,0,33,1,3
team_agg,4,0,17,1,6
team_agg,5,0,0,0,3
team_agg,6,0,0,0,2
team_agg,7,0,0,0,1
team_agg,8,0,0,0,2
free_critic,1,0,80,79,99
free_critic,2,0,92,46,50
free_critic,3,0,100,13,13
free_critic,4,0,100,6,6
free_critic,5,0,67,2,3
free_critic,6,0,75,3,4
free_critic,7,0,0,0,2
free_critic,8,0,0,0,1
thin_critic,1,0,92,92,100
thin_critic,2,0,-,-,0
thin_critic,3,0,50,1,2
thin_critic,4,0,100,7,7
thin_critic,5,0,92,12,13
thin_critic,6,0,100,10,10
thin_critic,7,0,0,0,13
thin_critic,8,0,0,0,18
actor_rubric,1,1,58,58,100
actor_rubric,2,1,-,-,0
actor_rubric,3,1,0,0,1
actor_rubric,4,1,50,1,2
actor_rubric,5,1,0,0,1
actor_rubric,6,1,33,2,6
actor_rubric,7,1,0,0,4
actor_rubric,8,1,0,0,1
team_agg,1,1,71,65,92
team_agg,2,1,43,9,21
team_agg,3,1,0,0,2
team_agg,4,1,0,0,5
team_agg,5,1,0,0,3
team_agg,6,1,0,0,5
team_agg,7,1,0,0,2
team_agg,8,1,0,0,4
free_critic,1,1,81,80,99
free_critic,2,1,96,43,45
free_critic,3,1,89,8,9
free_critic,4,1,89,8,9
free_critic,5,1,75,6,8
free_critic,6,1,100,2,2
free_critic,7,1,0,0,6
free_critic,8,1,0,0,6
thin_critic,1,1,94,94,100
thin_critic,2,1,-,-,0
thin_critic,3,1,100,5,5
thin_critic,4,1,93,13,14
thin_critic,5,1,100,5,5
thin_critic,6,1,100,17,17
thin_critic,7,1,0,0,18
thin_critic,8,1,0,0,15
actor_rubric,1,2,50,50,100
actor_rubric,2,2,-,-,0
actor_rubric,3,2,-,-,0
actor_rubric,4,2,50,1,2
actor_rubric,5,2,0,0,2
actor_rubric,6,2,0,0,7
actor_rubric,7,2,0,0,4
actor_rubric,8,2,0,0,4
team_agg,1,2,53,47,88
team_agg,2,2,25,6,24
team_agg,3,2,50,1,2
team_agg,4,2,33,2,6
team_agg,5,2,0,0,7
team_agg,6,2,0,0,1
team_agg,7,2,0,0,1
team_agg,8,2,-,-,0
free_critic,1,2,79,79,100
free_critic,2,2,94,29,31
free_critic,3,2,100,16,16
free_critic,4,2,100,11,11
free_critic,5,2,86,6,7
free_critic,6,2,100,3,3
free_critic,7,2,0,0,7
free_critic,8,2,0,0,3
thin_critic,1,2,97,97,100
thin_critic,2,2,-,-,0
thin_critic,3,2,100,5,5
thin_critic,4,2,100,15,15
thin_critic,5,2,100,10,10
thin_critic,6,2,100,6,6
thin_critic,7,2,9,2,22
thin_critic,8,2,0,0,11
